Brandstof omschrijving,maand_jaar,Kenteken,Datum_tenaamstelling
Alcohol,2008-01,5,5
Alcohol,2008-03,1,1
Alcohol,2008-06,2,2
Alcohol,2008-07,4,4
Alcohol,2008-08,1,1
Alcohol,2009-01,1,1
Alcohol,2009-02,2,2
Alcohol,2009-04,5,5
Alcohol,2009-05,4,4
Alcohol,2009-06,9,9
Alcohol,2009-07,9,9
Alcohol,2009-08,13,13
Alcohol,2009-09,9,9
Alcohol,2009-10,3,3
Alcohol,2009-11,2,2
Alcohol,2010-01,3,3
Alcohol,2010-02,4,4
Alcohol,2010-03,2,2
Alcohol,2010-04,3,3
Alcohol,2010-05,7,7
Alcohol,2010-06,3,3
Alcohol,2010-07,4,4
Alcohol,2010-08,3,3
Alcohol,2010-09,5,5
Alcohol,2010-10,3,3
Alcohol,2010-11,1,1
Alcohol,2010-12,1,1
Alcohol,2011-01,3,3
Alcohol,2011-02,3,3
Alcohol,2011-03,6,6
Alcohol,2011-04,6,6
Alcohol,2011-05,11,11
Alcohol,2011-06,19,19
Alcohol,2011-07,10,10
Alcohol,2011-08,8,8
Alcohol,2011-09,12,12
Alcohol,2011-10,8,8
Alcohol,2011-11,20,20
Alcohol,2011-12,9,9
Alcohol,2012-01,16,16
Alcohol,2012-02,9,9
Alcohol,2012-03,5,5
Alcohol,2012-04,10,10
Alcohol,2012-05,17,17
Alcohol,2012-06,9,9
Alcohol,2012-07,10,10
Alcohol,2012-08,11,11
Alcohol,2012-09,9,9
Alcohol,2012-10,7,7
Alcohol,2012-11,10,10
Alcohol,2012-12,5,5
Alcohol,2013-01,11,11
Alcohol,2013-02,10,10
Alcohol,2013-03,13,13
Alcohol,2013-04,12,12
Alcohol,2013-05,14,14
Alcohol,2013-06,14,14
Alcohol,2013-07,10,10
Alcohol,2013-08,11,11
Alcohol,2013-09,16,16
Alcohol,2013-10,9,9
Alcohol,2013-11,16,16
Alcohol,2013-12,18,18
Alcohol,2014-01,13,13
Alcohol,2014-02,8,8
Alcohol,2014-03,10,10
Alcohol,2014-04,8,8
Alcohol,2014-05,10,10
Alcohol,2014-06,16,16
Alcohol,2014-07,7,7
Alcohol,2014-08,5,5
Alcohol,2014-09,10,10
Alcohol,2014-10,9,9
Alcohol,2014-11,15,15
Alcohol,2014-12,10,10
Alcohol,2015-01,13,13
Alcohol,2015-02,9,9
Alcohol,2015-03,13,13
Alcohol,2015-04,12,12
Alcohol,2015-05,5,5
Alcohol,2015-06,9,9
Alcohol,2015-07,17,17
Alcohol,2015-08,11,11
Alcohol,2015-09,16,16
Alcohol,2015-10,17,17
Alcohol,2015-11,11,11
Alcohol,2015-12,12,12
Alcohol,2016-01,14,14
Alcohol,2016-02,16,16
Alcohol,2016-03,16,16
Alcohol,2016-04,14,14
Alcohol,2016-05,15,15
Alcohol,2016-06,13,13
Alcohol,2016-07,15,15
Alcohol,2016-08,14,14
Alcohol,2016-09,15,15
Alcohol,2016-10,21,21
Alcohol,2016-11,24,24
Alcohol,2016-12,20,20
Alcohol,2017-01,22,22
Alcohol,2017-02,29,29
Alcohol,2017-03,21,21
Alcohol,2017-04,20,20
Alcohol,2017-05,23,23
Alcohol,2017-06,32,32
Alcohol,2017-07,28,28
Alcohol,2017-08,25,25
Alcohol,2017-09,20,20
Alcohol,2017-10,18,18
Alcohol,2017-11,18,18
Alcohol,2017-12,21,21
Alcohol,2018-01,33,33
Alcohol,2018-02,27,27
Alcohol,2018-03,31,31
Alcohol,2018-04,23,23
Alcohol,2018-05,14,14
Alcohol,2018-06,43,43
Alcohol,2018-07,30,30
Alcohol,2018-08,32,32
